Air temperature (C),Relative humidity (%),Air velocity (m/s),Radiant temperature (C),Clo,Met,Thermal comfort
19.6,36.3,0.12,20.9,1.03,1.2,5.0
21.9,58.7,0.35,23.2,0.56,1.2,5.0
26.1,39.7,0.21,24.2,0.91,1.1,2.0
23.9,39.7,0.06,22.9,0.4,1.6,5.0
23.0,61.3,0.14,23.5,0.69,1.0,5.0
25.6,48.2,0.15,24.0,1.3,1.0,3.0
19.3,64.9,0.06,20.2,0.46,0.8,5.0
23.5,47.9,0.12,23.6,0.51,1.42,5
23.1,28.1,0.01,22.7,0.54,1.0,3
14.4,40.3,0.07,14.9,1.72,1.2,3.0
24.1,55.8,0.2,24.6,0.5,1.2,5.0
27.7,79.9,0.43,28.5,0.93,1.2,5.0
21.8,40.4,0.07,22.2,0.69,1.63,1
24.6,39.0,0.03,25.3,0.48,1.32,2.0
29.7,80.2,0.48,27.0,0.63,1.2,5.0
23.3,51.8,0.07,23.6,0.54,1.0,4
21.5,42.4,0.24,22.7,0.52,1.1,5
23.2,59.7,0.12,23.2,0.84,1.0,3.0
27.0,75.3,0.03,27.7,1.11,1.2,5.0
15.5,52.3,0.09,15.4,0.72,1.2,3.0
24.4,46.4,0.02,24.7,0.71,1.0,3
30.3,39.4,0.28,28.0,0.64,1.1,2.0
24.0,42.2,0.13,24.3,0.24,1.55,5
22.7,42.4,0.07,23.0,0.47,1.4,6
24.5,52.0,0.14,25.0,0.5,1.51,6
23.5,35.9,0.09,23.5,0.73,1.2,5
24.3,64.0,0.14,24.7,0.33,1.14,6
23.2,44.0,0.1,23.5,0.79,1.0,5
21.1,50.0,0.09,19.1,0.96,1.1,1.0
23.6,26.3,0.07,23.8,0.51,1.2,5
25.7,46.8,0.09,26.1,0.46,1.1,2.0
24.7,44.0,0.04,25.2,0.74,1.16,2.0
22.6,39.5,0.07,22.7,0.74,1.0,6
23.9,31.9,0.02,24.0,0.97,1.0,5
21.7,29.2,0.26,22.8,1.09,1.2,5.0
22.9,35.6,0.06,23.0,0.99,1.0,4
20.9,25.7,0.06,21.3,0.92,1.0,5.0
20.7,44.3,0.1,21.2,0.72,1.2,2
20.8,55.4,0.2,21.8,0.52,1.2,3.0
23.6,49.0,0.11,23.8,0.38,1.39,6
22.8,49.8,0.11,22.9,0.93,1.0,5
24.7,43.8,0.1,22.9,0.6,1.1,2.0
26.9,36.9,0.38,28.0,0.62,1.0,5.0
23.8,61.0,0.1,24.1,0.43,1.24,5
23.3,46.0,0.16,23.4,0.45,1.69,5
23.2,51.1,0.05,23.5,0.62,1.2,5
23.0,50.0,0.17,23.2,0.33,0.99,5
27.2,53.7,0.12,25.6,0.6,1.1,2.0
32.1,59.9,0.37,33.5,0.29,1.2,2.0
21.1,39.0,0.15,22.1,0.74,1.13,5.0
22.9,30.2,0.11,22.9,0.5,1.0,5.0
13.5,51.5,0.06,13.9,1.25,1.2,3.0
33.0,68.7,0.33,34.5,0.25,1.2,1.0
22.5,30.5,0.06,21.4,0.6,1.1,3.0
21.3,58.4,0.07,22.0,0.4,1.6,5.0
29.2,44.8,0.01,29.4,0.4,1.2,5.0
30.8,71.1,0.36,31.4,0.12,1.6,2.0
24.7,55.9,0.08,24.6,0.69,1.2,3.0
25.7,38.1,0.2,26.5,0.55,1.0,5.0
21.2,36.7,0.12,21.4,0.9,1.0,4
20.7,31.7,0.09,18.9,0.72,1.1,2.0
19.8,34.0,0.06,20.4,1.01,1.0,5.0
23.5,36.0,0.1,23.9,1.07,1.17,5.0
17.6,59.8,0.1,18.1,1.3,1.2,5.0
23.1,41.6,0.18,23.3,0.42,1.2,5
28.7,75.4,0.42,30.3,0.38,1.2,5.0
32.9,70.0,0.07,33.7,0.55,1.6,1.0
21.6,43.3,0.11,22.2,0.35,1.17,4
23.3,41.0,0.15,23.5,0.59,1.19,4
22.8,65.8,0.13,23.2,0.51,1.2,6.0
27.0,74.3,0.14,27.7,1.45,1.2,5.0
23.3,30.9,0.09,23.7,0.68,1.0,5
31.1,55.7,0.48,31.8,0.2,1.2,5.0
21.0,47.0,0.19,21.7,0.44,1.25,5
29.1,77.8,0.66,30.1,0.31,1.2,3.0
26.4,49.3,0.06,25.3,0.4,1.3,5.0
22.6,38.0,0.36,23.2,1.13,1.4,4.0
20.0,36.3,0.18,18.9,1.16,1.1,2.0
21.3,61.2,0.07,21.4,1.07,1.0,5.0
21.8,36.8,0.05,21.8,0.84,1.0,5
17.6,59.8,0.1,18.1,1.88,1.2,3.0
23.3,54.5,0.06,22.9,0.5,1.2,3.0
22.9,51.2,0.07,23.0,0.73,1.4,6
30.9,69.7,0.53,31.3,0.26,1.2,2.0
23.5,41.0,0.1,22.2,0.96,1.1,2.0
29.6,81.8,0.96,29.8,0.38,1.2,5.0
28.8,23.2,0.21,27.2,0.26,1.1,2.0
19.4,27.5,0.23,17.8,1.71,1.0,5.0
23.4,60.0,0.1,23.7,0.29,1.49,5
32.3,74.9,0.56,32.7,0.31,1.2,3.0
21.1,29.3,0.25,22.2,0.6,1.2,5.0
32.8,69.8,0.63,35.1,0.34,1.2,1.0
22.9,65.0,0.15,23.0,0.63,1.24,5
22.0,59.0,0.1,22.4,0.7,1.42,5
24.1,29.1,0.05,24.4,0.78,1.2,5
23.6,61.0,0.14,23.6,0.52,1.39,5
25.1,42.0,0.1,25.5,0.4,1.79,5
23.1,55.0,0.1,23.5,0.47,1.44,5
14.9,38.4,0.05,15.1,0.78,1.2,2.0
24.2,39.0,0.12,24.4,0.56,1.29,4
21.6,38.7,0.01,22.1,0.77,1.2,5
21.8,52.9,0.17,22.0,0.49,1.03,5
23.7,63.0,0.14,23.8,0.45,1.74,6
29.7,67.7,0.14,30.1,0.27,1.6,5.0
26.2,39.9,0.77,23.4,1.01,1.1,2.0
27.9,65.6,0.91,26.3,0.6,1.1,2.0
30.1,67.9,0.28,29.8,0.67,1.1,3.0
23.0,39.1,0.11,23.4,0.61,1.72,4
21.5,26.1,0.07,21.6,0.59,1.0,4
23.9,37.9,0.1,23.3,0.5,1.6,6.0
22.3,43.0,0.22,24.7,1.1,1.2,3.0
27.9,79.3,0.57,28.9,0.95,1.2,5.0
28.0,25.2,0.12,26.2,0.4,1.1,2.0
25.7,48.7,0.01,27.8,0.4,1.2,5.0
20.4,48.7,0.11,21.4,0.46,1.1,5.0
20.6,49.6,0.05,21.0,0.89,1.03,4
23.8,35.6,0.21,23.3,0.63,1.1,2.0
21.3,62.1,0.52,24.6,0.52,1.2,5
26.5,44.2,0.26,26.3,0.86,1.0,5.0
21.5,27.4,0.09,21.9,0.81,1.0,5.0
29.3,68.9,0.37,30.2,0.29,1.2,3.0
28.7,24.5,0.22,28.4,0.44,1.37,3
21.5,42.2,0.07,21.7,1.09,1.52,5
22.3,43.0,0.22,24.7,0.47,1.2,5.0
22.6,26.9,0.06,22.7,0.21,1.2,6
29.4,78.2,0.18,30.0,0.24,1.2,3.0
28.8,79.8,0.42,29.3,0.18,1.6,2.0
22.5,40.1,0.1,22.8,0.43,1.72,4
28.2,79.8,0.33,29.0,0.4,1.6,2.0
22.1,64.0,0.19,20.7,0.95,1.1,2.0
24.0,67.1,0.1,24.7,0.4,1.0,5.0
30.4,66.1,0.52,31.4,0.4,1.2,5.0
22.3,27.0,0.13,22.4,0.72,1.0,4
29.2,41.9,0.41,29.6,0.31,1.2,5.0
19.8,65.2,0.11,20.3,0.33,1.2,2.0
8.8,24.8,0.1,8.1,1.43,1.1,2.0
25.2,57.3,0.17,24.8,0.62,1.4,4
19.0,30.9,0.07,20.3,0.68,1.0,5.0
22.0,40.2,0.18,22.7,0.65,1.24,6
21.4,43.3,0.23,22.6,0.75,1.2,5.0
19.9,36.4,0.13,20.0,0.45,1.2,1.0
26.2,41.1,0.2,24.3,0.91,1.1,2.0
21.3,27.0,0.07,21.4,0.83,1.2,3
19.6,49.0,0.05,20.6,1.69,0.8,5.0
23.6,21.9,0.09,22.3,1.1,1.0,3.0
27.4,62.4,0.55,27.8,0.4,1.2,5.0
24.8,61.0,0.1,24.9,0.5,1.34,2
23.8,49.0,0.1,23.9,0.48,1.04,5
22.9,63.9,0.07,22.9,0.63,1.4,6.0
23.3,59.1,0.02,23.2,0.48,1.0,6.0
26.7,58.7,0.01,26.8,1.28,1.2,5.0
22.0,31.4,0.2,20.5,1.32,1.1,2.0
23.2,44.1,0.05,23.1,0.31,1.2,3.0
25.2,23.6,0.07,25.4,0.43,1.0,6
27.6,49.2,0.34,25.9,0.67,1.2,2.0
21.9,52.9,0.06,22.6,1.04,1.0,5.0
22.6,33.9,0.19,23.3,0.44,1.39,5
22.1,56.9,0.06,22.1,0.7,1.37,3
23.1,39.9,0.18,23.5,0.45,1.25,5
23.7,53.6,0.1,23.8,1.05,1.0,6
28.1,31.1,0.18,27.2,0.55,1.0,5.0
23.6,22.4,0.06,22.8,0.9,1.0,3.0
21.4,70.8,0.12,22.3,0.68,1.0,5.0
23.8,53.4,0.07,24.0,1.06,1.0,3.0
22.2,39.1,0.06,22.8,0.94,1.0,5.0
21.1,19.7,0.08,21.3,0.5,1.5,6.0
23.1,60.6,0.11,23.4,0.62,1.0,6.0
22.5,36.0,0.1,22.4,0.75,1.24,5
23.0,62.0,0.1,23.5,0.45,0.99,4
30.5,29.9,0.34,28.0,0.64,1.1,2.0
20.5,67.5,0.05,20.9,0.72,1.2,5.0
24.2,53.0,0.14,24.6,0.69,1.19,5
23.3,40.3,0.07,23.5,0.94,1.4,4
23.1,23.0,0.07,22.6,0.63,1.0,3
24.2,59.9,0.05,25.3,1.0,1.2,3.0
26.9,56.3,0.23,27.3,0.47,1.8,2.0
24.1,64.0,0.1,24.1,1.17,1.49,6
22.5,61.0,0.13,22.8,0.65,1.79,2
21.1,42.3,0.06,21.4,0.94,1.03,5
29.6,64.4,0.28,30.8,0.32,2.0,3.0
21.1,65.2,0.09,21.7,0.46,1.0,6.0
28.7,51.3,0.01,29.3,0.84,1.2,3.0
18.9,59.5,0.0,19.4,0.93,1.2,3.0
22.5,19.2,0.06,21.7,1.2,1.5,6.0
24.6,38.0,0.1,24.8,0.58,1.74,3
30.4,71.4,0.53,30.9,0.38,1.2,5.0
22.1,65.8,0.35,22.7,0.68,1.2,5.0
30.2,36.0,0.45,29.4,0.32,1.0,3.0
21.6,32.6,0.19,22.8,0.9,1.2,3.0
22.6,39.6,0.05,22.8,0.77,1.0,5
20.7,28.5,0.06,21.1,1.01,1.0,5.0
20.7,56.7,0.03,21.2,0.88,1.2,5.0
27.4,44.9,0.09,28.1,0.67,1.1,2.0
22.5,51.0,0.07,22.8,0.66,1.0,3
22.5,66.7,0.1,22.9,0.94,1.0,1
22.3,12.1,0.08,22.0,0.8,1.4,3.0
13.8,36.7,0.12,14.4,0.85,1.2,3.0
23.5,59.7,0.1,24.2,2.35,1.0,5.0
24.5,59.4,0.29,25.4,0.43,1.5,5
23.3,67.0,0.1,23.9,0.87,1.29,2
26.5,45.3,0.06,25.7,0.4,1.1,1.0
23.1,60.7,0.13,23.5,0.67,1.0,6.0
23.6,50.4,0.08,23.7,0.66,1.4,5
21.0,48.6,0.13,21.3,0.41,1.72,5
22.9,26.8,0.07,23.1,0.53,1.2,5
22.1,55.8,0.01,22.4,0.83,1.2,6.0
19.1,50.0,0.08,20.0,0.82,1.12,3
22.7,64.0,0.09,22.7,0.44,1.2,5.0
21.2,71.7,0.03,21.7,0.45,1.2,6.0
23.9,31.7,0.09,24.5,0.36,1.72,5
24.7,50.0,0.11,25.0,0.34,1.14,6
23.5,41.6,0.11,22.9,0.5,1.2,4.0
29.7,40.5,0.17,29.1,0.45,1.2,5.0
22.4,36.4,0.09,22.4,0.67,1.0,4
30.5,67.1,0.78,30.9,0.39,1.2,3.0
15.5,52.3,0.09,15.6,1.02,1.2,2.0
28.1,46.1,0.08,28.3,0.46,1.1,2.0
22.5,53.1,0.16,22.9,0.57,1.0,3.0
27.1,37.2,0.06,26.0,1.0,1.1,2.0
26.6,72.6,0.31,27.3,0.32,1.6,5.0
21.2,61.6,0.15,19.6,0.99,1.1,2.0
23.0,34.5,0.24,21.6,0.58,1.1,2.0
21.0,68.7,0.13,21.7,1.03,1.2,5.0
24.7,58.0,0.05,25.8,0.66,1.2,5.0
29.5,68.8,0.44,26.6,0.67,1.1,2.0
30.9,26.6,0.39,27.5,0.6,1.1,5.0
23.2,56.0,0.1,23.6,0.54,1.26,4
24.4,24.3,0.03,25.0,0.66,1.2,5
28.8,26.9,0.72,27.9,0.3,1.0,5.0
28.5,79.2,0.3,28.8,0.31,1.2,5.0
23.1,10.9,0.12,22.8,0.9,1.5,4.0
24.3,44.0,0.14,24.6,0.85,1.29,4
23.5,45.3,0.1,23.6,0.68,1.2,4.0
22.0,43.1,0.2,22.9,0.42,1.27,5
24.0,30.2,0.07,23.1,0.6,1.0,5.0
22.0,49.0,0.12,22.3,0.62,1.04,5
30.0,73.5,0.18,30.8,1.08,1.2,3.0
23.1,38.2,0.02,23.4,0.51,1.2,6
27.5,37.1,0.06,26.3,0.4,1.1,2.0
24.0,23.2,0.05,24.0,0.53,1.2,3
21.8,46.0,0.1,21.9,0.55,1.19,3
21.4,43.3,0.23,22.6,0.47,1.2,5.0
24.0,48.0,0.1,24.2,0.4,1.49,6
22.1,51.2,0.09,22.1,0.55,1.2,6
22.5,32.8,0.12,23.3,0.62,1.37,5
22.5,59.5,0.03,22.7,0.42,1.2,5.0
23.4,45.2,0.28,24.6,0.41,1.52,5
24.9,44.9,0.05,25.1,0.53,1.2,3
19.8,46.1,0.06,20.9,0.73,1.05,5
22.6,48.1,0.12,22.4,0.89,1.4,6
29.4,66.8,0.7,27.7,0.67,1.1,5.0
20.2,31.0,0.15,17.1,1.49,1.0,2.0
20.3,21.3,0.07,19.8,1.2,1.2,2.0
30.4,73.2,0.18,31.4,0.18,1.2,3.0
23.4,48.4,0.1,23.5,0.7,1.25,5
20.6,37.0,0.07,20.3,0.39,1.0,1
23.5,41.0,0.1,22.2,0.96,1.1,2.0
22.7,60.0,0.17,22.4,0.42,1.54,5
22.1,33.9,0.1,22.4,0.7,1.4,5
24.0,59.0,0.12,23.9,0.44,1.59,5
22.4,40.2,0.16,22.7,1.07,1.2,4
22.8,46.7,0.1,22.1,0.8,1.2,6.0
29.7,75.7,0.35,30.2,0.31,1.2,2.0
20.9,38.1,0.18,21.6,0.44,1.6,5
28.7,55.4,0.6,30.4,0.37,1.2,3.0
34.4,57.8,0.33,35.7,0.24,1.2,1.0
26.0,53.6,0.12,26.2,0.46,1.2,4.0
21.8,54.0,0.1,22.1,0.49,1.52,5
23.5,61.0,0.15,23.8,0.25,1.39,5
25.5,45.6,0.48,26.9,0.74,1.1,2.0
13.8,37.7,0.08,13.7,0.86,1.2,2.0
27.8,45.3,0.28,28.4,0.67,1.1,2.0
23.0,44.5,0.07,23.2,1.04,1.2,4.0
22.0,51.6,0.11,22.1,0.58,1.0,6
23.3,30.9,0.03,23.5,0.5,1.2,6
22.7,65.2,0.04,23.0,0.56,1.0,3.0
24.7,44.0,0.14,24.8,0.44,1.99,5
21.9,46.0,0.12,22.1,0.63,1.59,5
22.4,59.0,0.13,22.4,0.36,1.0,5.0
22.4,20.7,0.06,21.3,0.9,1.3,5.0
16.9,44.8,0.12,19.5,2.87,1.0,5.0
24.0,66.0,0.12,24.3,0.25,1.49,6
22.6,11.1,0.08,22.1,0.7,1.0,5.0
22.7,39.6,0.22,22.6,0.78,1.12,6
30.9,26.6,0.39,27.5,0.41,1.1,2.0
23.2,42.1,0.14,23.4,1.11,1.0,4
27.1,42.0,0.44,26.8,0.71,1.2,2.0
26.7,45.3,0.21,26.4,0.67,1.1,2.0
31.2,26.5,1.61,25.9,0.64,1.1,2.0
23.9,48.8,0.3,24.1,0.43,1.2,5.0
19.6,36.3,0.12,20.9,0.56,1.2,5.0
25.0,56.0,0.11,25.4,0.38,1.79,5
25.9,49.0,0.19,26.1,0.4,1.24,4
24.8,29.8,0.02,24.8,0.62,1.0,2
23.8,42.0,0.1,24.1,0.46,1.26,3
23.1,19.7,0.05,21.4,0.7,1.0,3.0
24.3,53.0,0.17,24.3,0.5,0.99,2
26.6,57.3,0.01,26.9,0.84,1.2,5.0
21.2,47.2,0.08,21.5,0.93,1.0,5
26.2,37.0,0.06,24.9,0.5,1.0,4.0
22.9,33.7,0.21,21.1,0.95,1.1,2.0
20.3,49.0,0.58,23.6,0.57,0.99,1.0
20.3,55.4,0.05,20.8,2.7,0.7,5.0
23.4,36.7,0.1,23.7,0.73,1.25,5
25.0,56.8,0.07,25.4,0.79,0.9,5.0
22.6,60.6,0.08,21.9,0.5,1.6,5.0
23.2,33.1,0.11,23.5,0.88,1.2,5
22.9,59.2,0.03,23.1,0.86,1.0,5.0
20.6,25.6,0.16,20.3,0.58,1.2,1
23.1,49.0,0.12,23.4,0.57,1.32,5
21.1,41.8,0.05,20.9,1.16,1.0,5.0
23.8,31.2,0.11,24.8,0.45,1.07,6
21.8,34.0,0.18,21.3,0.7,1.5,6.0
23.4,37.9,0.11,23.4,0.59,1.0,6
23.7,41.8,0.23,23.6,0.59,1.39,4
25.4,44.0,0.08,25.4,0.32,1.43,4.0
28.8,75.3,0.83,29.7,0.06,1.2,5.0
23.1,54.0,0.14,23.8,0.81,1.09,5
24.6,11.8,0.05,23.1,0.8,1.3,6.0
23.1,47.3,0.06,23.3,0.63,1.0,6
23.2,45.1,0.05,23.3,0.31,1.2,4.0
24.7,70.9,0.31,23.5,0.55,1.6,2.0
21.4,48.1,0.05,21.6,0.86,1.0,5
22.4,39.1,0.08,22.9,0.6,1.0,5
22.1,54.1,0.08,22.5,0.66,1.0,5.0
30.0,67.3,0.68,27.7,0.67,1.1,3.0
31.4,63.7,1.32,33.9,0.29,1.2,3.0
26.9,84.5,0.11,27.2,0.29,1.2,3.0
15.6,52.8,0.11,16.2,0.47,1.2,3.0
22.2,56.5,0.12,22.8,1.01,1.2,3.0
22.6,54.5,0.07,22.8,0.83,1.42,5
22.3,59.7,0.08,21.6,0.9,1.4,5.0
16.8,21.1,0.24,20.1,0.85,1.2,3.0
29.1,52.2,0.33,30.0,0.39,1.2,5.0
22.9,45.4,0.06,23.4,0.61,1.0,6
22.0,18.4,0.1,20.9,0.7,1.0,4.0
22.6,54.0,0.1,22.7,0.43,1.14,5
20.5,67.5,0.05,20.9,0.66,1.2,5.0
23.8,42.7,0.07,23.4,0.5,1.5,5.0
21.7,49.0,0.11,22.3,0.31,1.19,6
24.5,30.4,0.07,25.1,0.64,1.2,5.0
29.8,48.0,0.16,30.1,0.67,1.1,3.0
23.1,53.4,0.38,22.5,0.46,1.1,2.0
22.3,40.1,0.12,22.7,0.41,1.22,5
23.3,48.0,0.12,23.6,0.67,1.74,5
24.8,57.9,0.2,24.7,0.62,1.2,5.0
23.7,47.5,0.02,23.6,0.47,1.0,6
17.8,33.1,0.13,16.7,1.12,1.1,2.0
21.8,38.0,0.17,21.4,0.79,1.16,5.0
23.8,57.9,0.21,23.9,0.46,1.1,2.0
27.4,72.8,0.33,27.6,0.29,1.6,5.0
23.5,56.0,0.08,23.5,0.95,1.71,2.0
23.6,44.0,0.08,24.0,1.07,1.71,2.0
23.9,57.8,0.06,24.0,0.43,1.4,4.0
23.6,46.0,0.11,23.6,0.49,1.04,6
22.3,43.0,0.22,24.7,0.91,1.2,3.0
28.6,58.1,0.28,29.0,0.4,1.2,3.0
23.6,43.6,0.13,24.9,0.74,1.0,5.0
20.9,41.0,0.14,21.5,0.51,1.58,6.0
24.4,47.0,0.12,24.6,0.36,1.24,3
26.0,76.6,0.41,27.4,0.41,1.2,5.0
22.4,46.3,0.18,22.6,0.56,1.46,5
25.9,40.0,0.38,24.2,0.64,1.1,5.0
22.5,66.0,0.25,23.2,0.71,0.94,3.0
23.4,54.0,0.1,23.5,0.63,1.54,6
22.6,50.4,0.06,22.6,0.58,1.0,6
22.1,59.0,0.1,22.3,0.62,1.64,5
23.3,63.5,0.07,23.5,0.54,1.4,5.0
23.7,63.0,0.11,23.7,0.38,1.49,3
21.8,30.8,0.07,22.0,0.21,1.2,4
23.4,37.3,0.13,23.5,0.83,1.0,5
30.5,54.5,0.28,30.9,0.29,1.2,3.0
23.1,29.4,0.09,23.4,0.44,1.0,5
27.3,73.3,0.2,29.4,0.4,1.2,5.0
20.9,63.1,0.18,21.2,0.47,1.6,5.0
29.4,66.8,0.7,27.7,0.67,1.1,2.0
22.7,55.2,0.09,23.2,1.12,1.2,5.0
29.0,50.1,0.73,29.4,0.29,0.8,5.0
21.3,35.3,0.11,22.1,0.71,1.2,2
23.2,39.3,0.03,23.4,0.58,1.0,5
19.1,37.2,0.19,21.1,0.4,1.27,6
22.8,39.9,0.14,23.1,0.66,1.03,5
25.1,62.5,0.03,25.0,0.72,1.0,6.0
21.1,22.4,0.09,20.5,0.9,1.2,3.0
22.9,55.2,0.05,23.1,0.56,1.0,4.0
22.3,29.6,0.08,21.4,0.7,1.5,1.0
26.6,72.6,0.31,27.3,0.33,1.2,5.0
21.9,35.9,0.35,21.3,0.63,1.1,5.0
20.7,43.5,0.08,21.0,0.65,1.25,5
21.5,59.2,0.06,21.8,0.82,1.0,3.0
22.1,61.6,0.06,22.7,0.22,1.6,5.0
22.8,33.5,0.12,23.1,0.54,1.2,5
21.3,50.4,0.24,22.5,0.55,1.4,5
22.9,64.4,0.03,23.0,0.71,1.2,5.0
24.1,39.2,0.05,24.2,0.47,1.0,4
29.5,40.3,0.19,29.8,0.4,1.2,3.0
24.0,37.0,0.01,24.0,0.62,0.99,6.0
17.8,33.1,0.13,16.7,1.32,1.1,5.0
23.6,55.0,0.12,24.0,0.62,0.99,4
20.1,66.2,0.6,20.2,0.8,1.6,5.0
25.0,30.6,0.11,25.2,0.45,1.57,3
22.1,64.0,0.08,22.5,0.47,1.0,3.0
22.3,59.0,0.24,22.8,0.72,1.0,5.0
21.2,47.2,0.09,21.5,0.83,1.0,3
23.0,60.5,0.06,23.2,0.61,1.0,5.0
28.8,23.5,0.15,26.2,0.29,1.1,2.0
21.7,29.0,0.05,21.8,1.31,1.4,5
21.1,63.8,0.24,20.0,1.06,1.0,2.0
29.4,59.2,0.62,32.3,0.49,1.2,3.0
10.1,51.5,0.06,13.9,1.26,1.2,2.0
17.2,73.9,0.1,17.4,0.66,1.2,5.0
25.4,57.0,0.12,25.8,0.37,1.66,5
24.3,40.0,0.11,24.5,0.62,1.29,5
23.1,53.0,0.14,23.4,0.88,1.19,4
26.7,39.1,0.05,25.4,0.5,1.2,5.0
26.6,53.4,0.13,27.2,0.31,1.2,3.0
23.5,61.3,0.07,23.7,0.6,1.2,3.0
23.8,55.5,0.07,24.8,0.3,1.0,5.0
29.1,78.1,0.75,30.6,0.23,1.2,3.0
22.6,57.3,0.12,22.9,0.47,1.0,6.0
24.2,59.9,0.05,25.3,0.18,1.6,2.0
27.0,48.8,0.22,25.2,0.47,1.2,5.0
21.5,24.5,0.15,20.3,0.59,1.1,5.0
13.8,54.7,0.09,14.2,0.51,1.2,3.0
20.5,48.1,0.04,20.6,0.57,1.0,6
24.0,31.2,0.25,25.1,0.33,1.2,2
25.7,58.8,0.04,26.3,0.55,1.6,5.0
25.4,40.8,0.42,24.1,0.63,1.1,1.0
24.1,47.9,0.67,24.0,0.49,1.0,6.0
22.4,54.8,0.14,22.6,0.56,1.05,5
20.6,41.9,0.05,21.1,0.84,0.9,3.0
24.2,48.0,0.39,23.9,0.67,1.1,2.0
26.6,40.3,0.26,24.6,0.64,1.1,2.0
25.2,83.0,0.0,25.4,0.94,1.2,5.0
21.4,64.9,0.06,21.7,0.45,1.2,5
23.2,55.6,0.14,23.3,0.62,1.2,4.0
23.0,46.1,0.02,23.5,0.9,1.2,5.0
24.1,36.0,0.13,24.5,0.4,1.03,3
21.6,53.7,0.08,22.9,1.01,1.0,5.0
26.5,51.4,0.22,25.4,0.6,1.1,1.0
23.6,44.0,0.16,23.9,0.58,1.09,5
23.2,44.9,0.12,23.3,0.52,1.2,4.0
22.3,51.0,0.17,22.9,0.82,1.49,5
26.1,26.0,0.01,25.6,0.77,1.1,3.0
21.7,43.7,0.08,21.0,0.89,1.0,2.0
24.3,23.8,0.12,27.4,0.77,1.2,4
21.8,44.4,0.06,22.4,0.93,1.4,4
18.0,36.6,0.12,16.7,1.65,1.1,5.0
23.6,38.5,0.07,24.4,1.56,1.2,5.0
25.5,47.1,0.15,21.2,1.06,1.0,5.0
22.2,67.7,0.06,22.3,0.9,1.2,5.0
20.4,55.0,0.1,20.7,1.01,1.6,3.0
26.5,41.4,0.09,24.6,0.7,1.1,2.0
29.6,48.5,0.28,30.1,0.4,1.2,5.0
22.3,34.1,0.15,23.6,0.44,1.66,4
23.4,53.5,0.12,23.6,1.34,1.0,4
23.0,54.2,0.12,23.1,0.5,1.4,6.0
21.5,37.1,0.0,21.7,0.93,1.0,3
30.5,66.9,0.06,30.3,0.46,1.1,3.0
23.8,48.0,0.1,24.1,0.58,1.24,4
22.8,63.0,0.14,23.4,0.7,1.24,4
22.4,26.0,0.07,22.4,0.79,1.2,1
21.8,49.2,0.1,22.0,0.7,1.2,5
23.9,46.0,0.14,24.4,0.35,1.19,3
22.6,59.0,0.1,23.1,1.19,1.0,5.0
22.5,60.7,0.15,22.5,0.48,1.0,4.0
21.7,24.7,0.07,23.7,1.19,1.0,5.0
22.2,53.2,0.11,22.6,0.7,1.03,6
24.1,60.0,0.19,24.4,0.31,0.99,6
24.3,24.5,0.54,22.4,0.6,1.1,2.0
30.4,69.5,0.56,30.7,0.31,1.2,3.0
24.4,45.0,0.15,24.8,0.51,1.32,2
20.7,56.7,0.03,21.2,1.02,1.2,5.0
24.3,42.0,0.12,24.3,0.47,1.74,5
23.4,34.7,0.07,23.6,0.76,1.0,6
32.0,22.5,1.19,29.2,0.72,1.1,5.0
23.9,65.1,0.25,24.7,0.31,1.2,3.0
22.5,35.1,0.11,22.1,0.5,1.0,5.0
23.4,54.1,0.07,23.7,0.34,1.0,5
25.1,39.3,0.07,24.2,0.5,1.2,4.0
22.3,54.0,0.13,22.6,0.65,1.09,3
28.6,64.3,0.22,28.3,0.24,1.2,5.0
29.2,67.2,0.73,27.1,0.46,1.1,3.0
22.7,39.4,0.05,22.8,0.54,1.0,2
29.3,64.0,0.65,31.4,0.46,1.2,5.0
23.1,44.8,0.08,23.1,0.69,1.4,3.0
22.8,31.4,0.1,22.2,0.8,1.2,5.0
22.9,62.2,0.06,23.2,0.68,1.0,6.0
23.6,48.0,0.16,24.3,0.49,1.39,4
21.7,64.1,0.1,22.0,0.62,1.0,3.0
23.8,68.0,0.14,24.1,0.52,1.49,5
23.8,42.0,0.16,24.3,0.52,1.04,6
31.9,66.5,0.35,32.4,0.66,1.2,3.0
19.6,43.6,0.03,19.7,1.14,1.2,3.0
29.9,75.8,0.59,31.1,0.38,1.2,3.0
22.7,47.1,0.18,23.3,0.5,1.03,5
26.5,57.5,0.42,24.1,0.67,1.2,3.0
29.2,78.0,0.13,30.1,0.31,1.2,3.0
22.5,57.6,0.07,22.1,0.6,1.3,5.0
23.3,36.0,0.05,23.7,0.88,0.94,4.0
25.9,40.5,0.17,23.1,0.67,1.2,5.0
25.0,64.0,0.13,25.0,0.63,1.0,6.0
24.6,64.4,0.05,24.4,0.69,1.0,6.0
22.5,59.5,0.08,22.7,0.49,1.0,5.0
25.5,58.7,0.1,25.3,0.62,1.0,5
27.2,52.7,0.2,27.6,0.54,1.2,3.0
23.6,33.0,0.09,24.0,0.6,1.04,6.0
22.9,41.3,0.0,23.0,0.61,1.4,5
20.6,25.9,0.58,21.6,0.44,1.2,3.0
28.9,50.7,0.2,29.2,0.38,2.0,5.0
24.7,55.1,0.1,25.6,0.85,1.2,5.0
24.2,26.1,0.05,24.4,0.54,1.2,6
