Air temperature (C),Relative humidity (%),Air velocity (m/s),Radiant temperature (C),Clo,Met,Thermal comfort
22.4,48.0,0.1,22.9,0.33,1.39,6
23.5,56.0,0.12,23.9,0.34,1.12,5
15.2,27.3,0.13,14.0,1.2,1.1,2.0
23.0,68.3,0.09,23.5,0.55,1.2,6
19.2,50.2,0.06,20.2,2.23,0.8,3.0
23.1,19.3,0.05,21.9,0.6,1.1,3.0
21.3,28.3,0.07,21.1,0.93,0.8,5.0
23.2,32.0,0.39,24.4,0.59,1.14,4.0
25.1,25.7,0.19,25.4,0.45,1.0,5
23.1,51.0,0.12,23.2,0.4,0.99,6
23.2,56.1,0.09,23.4,0.7,1.2,5
22.4,38.4,0.14,22.6,0.57,1.2,5
27.0,48.8,0.22,25.2,0.41,1.2,3.0
20.4,48.7,0.11,21.4,0.46,1.1,2.0
23.9,29.0,0.03,24.1,0.82,1.0,4
21.9,67.0,0.11,22.0,0.63,1.09,5
23.4,59.0,0.12,23.7,0.33,1.49,4
23.8,26.5,0.15,22.2,0.78,1.1,2.0
26.5,61.0,0.23,27.1,0.43,1.61,4
22.5,56.3,0.03,22.8,0.46,1.0,6.0
16.8,21.1,0.24,20.1,0.55,1.2,3.0
22.8,31.1,0.08,23.2,0.52,1.0,3
22.8,62.6,0.09,23.1,0.62,1.0,1.0
27.1,56.4,0.46,24.6,0.67,1.2,1.0
28.8,79.8,0.42,29.3,0.74,1.6,2.0
24.6,44.0,0.13,25.6,0.37,1.29,5
22.9,28.6,0.07,22.9,1.0,1.4,3
27.9,58.9,0.07,28.4,0.73,1.2,3.0
22.2,65.5,0.04,22.4,0.67,1.0,5.0
21.0,58.4,0.28,29.3,0.22,1.2,5.0
27.8,60.1,0.1,29.7,0.33,1.2,5.0
29.1,76.4,0.36,29.9,0.5,1.2,3.0
25.6,39.0,0.21,26.1,0.55,1.0,5.0
28.7,62.4,0.44,27.1,0.6,1.1,5.0
22.7,44.8,0.06,22.9,0.48,1.66,3
23.1,60.0,0.32,23.1,0.55,1.0,5.0
22.8,63.8,0.17,23.5,0.56,1.4,6.0
23.6,69.0,0.13,23.7,0.52,1.39,6
23.9,25.5,0.16,20.7,0.96,1.1,2.0
23.4,72.2,0.26,24.1,0.62,1.4,4.0
28.0,48.6,0.48,25.1,0.67,1.2,2.0
21.2,23.2,0.11,20.9,0.9,1.6,4.0
22.9,44.5,0.05,23.0,0.48,1.4,3.0
23.8,47.7,0.08,24.1,0.4,1.63,5
23.1,38.5,0.1,23.0,0.6,1.3,5.0
16.8,21.1,0.24,20.1,0.99,1.2,3.0
21.5,35.5,0.34,22.9,0.56,1.05,5
22.0,29.3,0.08,22.4,0.87,1.0,4
22.5,27.0,0.12,22.9,0.61,1.4,3
22.3,49.0,0.17,23.0,0.55,1.24,1
23.0,33.0,0.17,24.0,0.56,1.12,6
21.5,35.5,0.16,19.4,0.94,1.1,2.0
27.9,46.3,0.41,28.2,0.31,1.2,5.0
22.5,47.9,0.09,22.7,0.7,1.2,5
22.6,71.4,0.12,23.3,0.66,1.0,3.0
18.8,42.9,0.14,19.4,0.67,1.1,5.0
21.8,27.6,0.06,22.0,0.81,1.2,6
27.2,62.6,0.14,27.7,0.42,1.2,1.0
26.7,58.2,0.22,26.5,0.48,1.2,2.0
30.0,57.3,0.25,31.6,0.39,1.6,2.0
23.9,45.3,0.34,23.4,0.73,1.42,5
24.9,62.7,0.27,25.8,0.57,1.0,5.0
23.2,38.3,0.15,23.9,0.48,1.0,4
23.1,51.0,0.2,23.5,0.35,1.59,5
28.3,61.5,0.11,29.9,0.4,0.8,5.0
